n,adc_buffer
422,-0.32531028985977173
423,-0.46596771478652954
424,-0.5956993103027344
425,-0.7114188075065613
426,-0.8104537129402161
427,-0.8904320001602173
428,-0.949528157711029
429,-0.9862895011901855
430,-0.9999247193336487
431,-0.9900404214859009
432,-0.9569403529167175
433,-0.901331901550293
434,-0.8245893120765686
435,-0.7284506559371948
436,-0.6152362823486328
437,-0.4875462055206299
438,-0.3484186828136444
439,-0.20110085606575012
440,-0.0490676686167717
441,0.10411371290683746
442,0.2548598349094391
443,0.39961665868759155
444,0.5349976420402527
445,0.6577943563461304
446,0.7651634216308594
447,0.8545387983322144
448,0.9238795042037964
449,0.9714856147766113
450,0.9963126182556152
451,0.9977046251296997
452,0.9757033586502075
453,0.9307494163513184
454,0.8639728426933289
455,0.7768738269805908
456,0.6715589761734009
457,0.5504525899887085
458,0.4164295494556427
459,0.2726162075996399
460,0.12241067737340927
461,-0.030674226582050323
462,-0.1830339878797531
463,-0.33110007643699646
464,-0.4713967442512512
465,-0.6006051898002625
466,-0.7157308459281921
467,-0.8140175342559814
468,-0.8932216167449951
469,-0.951417088508606
470,-0.9873014092445374
471,-0.999962329864502
472,-0.9891773462295532
473,-0.9551249742507935
474,-0.898674488067627
475,-0.8210870623588562
476,-0.7242470979690552
477,-0.6103760600090027
478,-0.48218902945518494
479,-0.342654287815094
480,-0.19509032368659973
481,-0.042937442660331726
482,0.11021625250577927
483,0.2607834041118622
484,0.40524131059646606
485,0.5401613116264343
486,0.6624158024787903
487,0.769088864326477
488,0.8577254414558411
489,0.9261927604675293
490,0.9729399681091309
491,0.996801495552063
492,0.9972904324531555
493,0.9743223786354065
494,0.928506076335907
495,0.8608506917953491
496,0.7730104327201843
497,0.666987419128418
498,0.5453299880027771
499,0.4108408987522125
500,0.2667127549648285
501,0.11631644517183304
502,-0.03680722042918205
503,-0.18905922770500183
504,-0.33688420057296753
505,-0.47679024934768677
506,-0.6055110692977905
507,-0.7199889421463013
508,-0.817581295967102
509,-0.895946741104126
510,-0.9533060193061829
511,-0.9882389307022095
512,-1.0
513,-0.9882398843765259
514,-0.9533078074455261
515,-0.8959493637084961
516,-0.8175848126411438
